era,n,H,H_lo95,H_hi95,evenness,dominant_form,dominant_share_%
Pre-1990,2387,1.4122,1.3842,1.4371,0.7257,SRL,40.3
Menem,3026,1.1626,1.1287,1.1947,0.5974,SRL,60.2
Crisis,963,1.2457,1.1915,1.2944,0.6402,SRL,50.5
N.Kirchner,2311,1.3656,1.3352,1.3922,0.7018,SRL,45.0
C.Kirchner,2702,1.4135,1.3821,1.4407,0.7264,SRL,47.3
Macri,877,1.6487,1.5912,1.6947,0.8472,SRL,42.4
Fernández,1459,1.739,1.7086,1.7642,0.8937,Coop,25.5
Milei,444,1.4362,1.347,1.509,0.738,SAS,43.9
