Axis,Raw_eigenvalue,Benzecri,Pct_inertia,Cumulative,Above_threshold
Axis 1,0.4299,0.057544,58.4,58.4,Yes
Axis 2,0.3651,0.023563,23.9,82.3,Yes
Axis 3,0.3258,0.010212,10.4,92.6,Yes
Axis 4,0.2986,0.004194,4.3,96.9,Yes
Axis 5,0.2917,0.003094,3.1,100.0,Yes
